GEOID,LEA,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,CTE Program Support,Total
3702820,Macon County,"178,032",0,"136,752","300,659","2,839,380",0,"1,320,654","806,542",23,"1,692,754",45,"367,347","1,235,774","545,484","28,668",0,0,"-43,136",0,0,214,"15,509,730",12,"1,296,792","1,534,883",0,244,"1,693,604","69,135","69,874","29,404,896"
3702880,Madison County,"87,337",0,"67,001","54,677","1,619,756","113,576","649,519","424,819",11,"837,991",23,"199,014","606,234","605,118","14,064",0,0,"-45,450",0,0,105,"7,706,899",6,"670,542","1,307,267","1,560,000",151,"1,119,665","40,887","33,601","17,585,180"
3702940,Martin County,"111,080",0,"85,221","80,793","2,347,772","1,786,508","828,533","1,139,011",14,"1,045,926",29,"248,396","771,041","578,706","17,887",0,0,"-34,446",0,0,135,"9,498,780",9,"926,739","831,027","1,498,000",163,"1,182,565","44,507","59,565","22,936,531"
3703000,McDowell County,"232,793",0,"178,861","359,607","4,608,249","2,274,880","1,634,089","1,843,963",30,"2,200,050",59,"491,813","1,615,884","796,848","37,486",0,0,"-38,151",0,0,277,"19,675,848",14,"1,494,906","1,393,479",0,303,"2,237,958","87,167","108,820","41,001,757"
3703060,Mecklenburg County,"5,820,616",0,"4,471,062","20,271,598","63,479,879",0,"43,306,359","24,294,748",740,"56,982,960","1,478","12,521,263","40,402,655","3,214,145","937,288",0,0,"-2,069,813",0,0,"6,924","475,675,697",178,"20,381,534","62,414,819",0,"6,278","44,498,464","1,913,422","3,035,124","875,731,204"
3703090,Mitchell County,"71,069",0,"54,590","116,709","1,359,962","176,625","491,558","320,155",9,"746,136",19,"169,802","493,311","517,932","11,444",0,0,"-44,675",0,0,84,"6,171,359",7,"800,933","848,853","1,600,000",135,"987,390","36,083","30,546","14,888,713"
3703120,Montgomery County,"146,215",0,"112,279","327,026","2,058,321","1,043,539","1,083,220","4,962,079",19,"1,402,086",37,"309,131","1,014,922","585,318","23,545",0,0,"-62,279",0,0,175,"12,252,575",12,"1,279,044","1,388,569",0,206,"1,458,892","57,531","56,128","29,351,926"
3703210,Moore County,"509,114",0,"391,163","383,277","7,193,355",0,"3,450,739","2,262,624",65,"5,072,665",129,"1,105,118","3,533,914","835,845","81,982",0,0,"-283,875",0,0,597,"42,174,730",24,"2,609,520","3,792,184",0,641,"4,388,927","190,518","237,304","77,419,990"
3703270,Nash-Rocky Mount,"579,463",0,"444,935","698,730","10,087,076","6,560,159","4,191,984","5,390,280",74,"5,695,188",147,"1,228,095","4,022,231","1,027,958","93,310",0,0,"-62,868",0,0,688,"46,919,018",27,"2,882,034","4,317,171",0,685,"4,745,680","204,185","262,695","98,707,861"
3703330,New Hanover County,"1,064,875",0,"818,661","1,350,803","14,327,561",0,"7,410,047","4,685,329",136,"10,940,520",270,"2,283,192","7,391,616","1,105,020","171,476",0,0,"-488,698",0,0,"1,257","91,126,766",42,"4,710,972","7,082,750",0,"1,269","9,092,385","382,673","537,227","162,928,300"
